Date ,CC from abroad 
28-09-2021,0
29-09-2021,0
30-09-2021,0
01-10-2021,0
02-10-2021,0
03-10-2021,0
04-10-2021,0
05-10-2021,0
06-10-2021,0
07-10-2021,0
08-10-2021,0
09-10-2021,0
10-10-2021,0
11-10-2021,0
12-10-2021,0
13-10-2021,0
14-10-2021,0
15-10-2021,0
16-10-2021,0
17-10-2021,0
18-10-2021,0
19-10-2021,0
20-10-2021,0
21-10-2021,0
22-10-2021,0
23-10-2021,0
24-10-2021,0
25-10-2021,0
26-10-2021,0
27-10-2021,0
28-10-2021,0
29-10-2021,0
30-10-2021,0
31-10-2021,0
01-11-2021,32
02-11-2021,25
03-11-2021,18
04-11-2021,24
05-11-2021,19
06-11-2021,18
07-11-2021,24
08-11-2021,33
09-11-2021,29
10-11-2021,12
11-11-2021,23
12-11-2021,22
13-11-2021,19
14-11-2021,23
15-11-2021,22
16-11-2021,28
17-11-2021,8
18-11-2021,32
19-11-2021,28
20-11-2021,16
21-11-2021,37
22-11-2021,22
23-11-2021,18
24-11-2021,16
25-11-2021,19
26-11-2021,22
27-11-2021,14
28-11-2021,44
29-11-2021,48
30-11-2021,36
01-12-2021,38
02-12-2021,71
03-12-2021,39
04-12-2021,27
05-12-2021,43
06-12-2021,69
07-12-2021,69
08-12-2021,59
09-12-2021,77
10-12-2021,102
11-12-2021,42
12-12-2021,102
13-12-2021,175
14-12-2021,219
15-12-2021,153
16-12-2021,231
17-12-2021,237
18-12-2021,154
19-12-2021,409
20-12-2021,353
21-12-2021,418
22-12-2021,295
23-12-2021,460
24-12-2021,329
25-12-2021,206
26-12-2021,395
27-12-2021,409
28-12-2021,358
29-12-2021,319
30-12-2021,480
31-12-2021,362
01-01-2022,264
02-01-2022,693
03-01-2022,685
04-01-2022,630
05-01-2022,615
06-01-2022,649
07-01-2022,754
08-01-2022,451
09-01-2022,731
10-01-2022,619
11-01-2022,450
12-01-2022,367
13-01-2022,584
14-01-2022,561
15-01-2022,378
16-01-2022,1177
17-01-2022,760
18-01-2022,632
19-01-2022,549
20-01-2022,939
21-01-2022,756
22-01-2022,545
23-01-2022,1191
24-01-2022,948
25-01-2022,622
26-01-2022,542
27-01-2022,1021
28-01-2022,697
29-01-2022,535
30-01-2022,1143
31-01-2022,674
01-02-2022,482
02-02-2022,362
03-02-2022,557
04-02-2022,504
05-02-2022,419
06-02-2022,757
07-02-2022,553
08-02-2022,366
09-02-2022,320
10-02-2022,455
11-02-2022,496
12-02-2022,475
13-02-2022,606
14-02-2022,568
15-02-2022,358
16-02-2022,294
17-02-2022,485
18-02-2022,398
19-02-2022,304
20-02-2022,495
21-02-2022,480
22-02-2022,347
23-02-2022,275
24-02-2022,301
25-02-2022,377
26-02-2022,267
27-02-2022,395
28-02-2022,489
01-03-2022,365
02-03-2022,373
03-03-2022,398
04-03-2022,428
05-03-2022,328
06-03-2022,487
07-03-2022,513
08-03-2022,404
09-03-2022,407
10-03-2022,475
11-03-2022,535
12-03-2022,515
13-03-2022,801
14-03-2022,855
15-03-2022,580
16-03-2022,502
17-03-2022,593
18-03-2022,722
19-03-2022,954
20-03-2022,1233
21-03-2022,908
22-03-2022,716
23-03-2022,643
24-03-2022,1011
25-03-2022,836
26-03-2022,692
27-03-2022,1119
28-03-2022,1018
29-03-2022,757
30-03-2022,506
31-03-2022,632
01-04-2022,723
02-04-2022,446
03-04-2022,851
04-04-2022,746
05-04-2022,470
06-04-2022,447
07-04-2022,455
08-04-2022,434
09-04-2022,270
10-04-2022,424
11-04-2022,505
12-04-2022,454
13-04-2022,413
14-04-2022,356
15-04-2022,319
16-04-2022,177
17-04-2022,383
18-04-2022,509
19-04-2022,545
20-04-2022,754
21-04-2022,869
22-04-2022,622
23-04-2022,587
24-04-2022,1175
25-04-2022,751
26-04-2022,399
27-04-2022,321
28-04-2022,377
29-04-2022,334
30-04-2022,212
01-05-2022,356
02-05-2022,286
03-05-2022,243
04-05-2022,255
05-05-2022,349
06-05-2022,386
07-05-2022,286
08-05-2022,490
09-05-2022,395
10-05-2022,262
11-05-2022,253
12-05-2022,363
13-05-2022,298
14-05-2022,210
15-05-2022,386
16-05-2022,382
17-05-2022,396
18-05-2022,309
19-05-2022,569
20-05-2022,424
21-05-2022,120
22-05-2022,334
23-05-2022,269
24-05-2022,219
25-05-2022,294
26-05-2022,466
27-05-2022,319
28-05-2022,176
29-05-2022,384
30-05-2022,400
31-05-2022,333
01-06-2022,456
02-06-2022,713
03-06-2022,393
04-06-2022,193
05-06-2022,445
06-06-2022,681
07-06-2022,816
08-06-2022,625
09-06-2022,707
10-06-2022,553
11-06-2022,401
12-06-2022,836
13-06-2022,801
14-06-2022,643
15-06-2022,734
16-06-2022,1254
17-06-2022,897
18-06-2022,498
19-06-2022,1012
20-06-2022,1034
21-06-2022,1002
22-06-2022,969
23-06-2022,1441
24-06-2022,943
25-06-2022,652
26-06-2022,1183
27-06-2022,1084
28-06-2022,1015
29-06-2022,990
30-06-2022,1231
01-07-2022,841
02-07-2022,513
03-07-2022,945
04-07-2022,755
05-07-2022,830
06-07-2022,766
07-07-2022,937
08-07-2022,717
09-07-2022,487
10-07-2022,751
11-07-2022,646
12-07-2022,686
13-07-2022,662
14-07-2022,891
15-07-2022,604
16-07-2022,422
17-07-2022,635
18-07-2022,551
19-07-2022,529
20-07-2022,517
21-07-2022,652
22-07-2022,524
23-07-2022,318
24-07-2022,640
25-07-2022,384
26-07-2022,374
27-07-2022,436
28-07-2022,580
29-07-2022,346
30-07-2022,298
31-07-2022,380
01-08-2022,347
02-08-2022,299
03-08-2022,216
04-08-2022,343
05-08-2022,142
06-08-2022,135
07-08-2022,338
08-08-2022,262
09-08-2022,214
10-08-2022,199
11-08-2022,254
12-08-2022,199
13-08-2022,137
14-08-2022,207
15-08-2022,191
16-08-2022,210
17-08-2022,186
18-08-2022,254
19-08-2022,151
20-08-2022,135
21-08-2022,146
22-08-2022,154
23-08-2022,169
24-08-2022,195
25-08-2022,205
26-08-2022,217
27-08-2022,133
28-08-2022,177
29-08-2022,203
30-08-2022,217
31-08-2022,175
01-09-2022,209
02-09-2022,172
03-09-2022,98
04-09-2022,190
05-09-2022,158
06-09-2022,153
07-09-2022,119
08-09-2022,319
09-09-2022,205
10-09-2022,109
11-09-2022,149
12-09-2022,174
13-09-2022,223
14-09-2022,233
15-09-2022,333
16-09-2022,351
17-09-2022,124
18-09-2022,222
19-09-2022,284
20-09-2022,245
21-09-2022,209
22-09-2022,281
23-09-2022,220
24-09-2022,107
25-09-2022,112
26-09-2022,119
27-09-2022,162
28-09-2022,229
29-09-2022,270
30-09-2022,177
01-10-2022,98
02-10-2022,169
03-10-2022,176
04-10-2022,69
05-10-2022,4
06-10-2022,237
07-10-2022,149
08-10-2022,110
09-10-2022,135
10-10-2022,148
11-10-2022,192
12-10-2022,169
13-10-2022,285
14-10-2022,240
15-10-2022,157
16-10-2022,231
17-10-2022,190
18-10-2022,254
19-10-2022,281
20-10-2022,316
21-10-2022,163
22-10-2022,108
23-10-2022,185
24-10-2022,133
25-10-2022,161
26-10-2022,125
27-10-2022,192
28-10-2022,144
29-10-2022,71
30-10-2022,198
31-10-2022,171
01-11-2022,108
02-11-2022,105
03-11-2022,107
04-11-2022,83
05-11-2022,59
06-11-2022,96
07-11-2022,106
08-11-2022,74
09-11-2022,127
10-11-2022,152
11-11-2022,182
12-11-2022,66
13-11-2022,146
14-11-2022,112
15-11-2022,129
16-11-2022,141
17-11-2022,181
18-11-2022,177
19-11-2022,85
20-11-2022,152
21-11-2022,166
22-11-2022,147
23-11-2022,141
24-11-2022,144
25-11-2022,117
26-11-2022,89
27-11-2022,193
28-11-2022,159
29-11-2022,103
30-11-2022,118
01-12-2022,114
02-12-2022,141
03-12-2022,61
04-12-2022,124
05-12-2022,145
06-12-2022,104
07-12-2022,97
08-12-2022,98
09-12-2022,113
10-12-2022,81
11-12-2022,126
12-12-2022,139
13-12-2022,115
14-12-2022,79
15-12-2022,100
16-12-2022,115
17-12-2022,71
18-12-2022,117
19-12-2022,131
20-12-2022,85
21-12-2022,68
22-12-2022,87
23-12-2022,80
24-12-2022,73
25-12-2022,94
26-12-2022,107
27-12-2022,59
28-12-2022,39
29-12-2022,46
30-12-2022,34
31-12-2022,26
01-01-2023,22
02-01-2023,33
03-01-2023,17
04-01-2023,4
05-01-2023,0
