Amount pf people, age  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1378, 100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998, 99 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2645, 98 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3601, 97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4427, 96 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5379, 95 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6335, 94 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8062, 93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9442, 92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11902, 91 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12481, 90 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15492, 89 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16262, 88 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18974, 87 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22068, 86 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25347, 85 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29341, 84 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30470, 83 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30558, 82 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31439, 81 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31677, 80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30736, 79 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32992, 78 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38508, 77 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45990, 76 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59600, 75 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66786, 74 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62306, 73 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63558, 72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70809, 71 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72383, 70 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73666, 69 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73411, 68 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73013, 67 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75877, 66 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75298, 65 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76230, 64 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77636, 63 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78885, 62 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81837, 61 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79464, 60 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80383, 59 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80533, 58 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83294, 57 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84655, 56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85711, 55 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84089, 54 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89800, 53 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93905, 52 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98763, 51 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103019, 50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102830, 49 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105165, 48 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108678, 47 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112357, 46 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114476, 45 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111513, 44 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109536, 43 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109912, 42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111107, 41 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111269, 40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114032, 39 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117312, 38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117904, 37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118322, 36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119691, 35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119796, 34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121480, 33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121715, 32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122463, 31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123598, 30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124326, 29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125591, 28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126165, 27 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126595, 26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130316, 25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132500, 24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137224, 23 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137842, 22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142057, 21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142236, 20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145103, 19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149759, 18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148881, 17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148259, 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152362, 15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155597, 14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160285, 13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164233, 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168664, 11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168712, 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173028, 9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173625, 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178281, 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180445, 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182802, 5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184846, 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185395, 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182319, 2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177317, 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16654, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9326990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
